Name,Artist,Composer,Album,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,CoverArtist,CoverTrackName,CoverYear,OGrace,CoverRace
Self Control,Raf,Giancarlo Bigazzi & Raffaele Riefoli,Self Control,Pop,8492919,238,1,1,1,11,1984,Laura Brannigan,Self Control,1984,White,White
I Can't Stand the Rain (2015 Remastered Version),Tina Turner,"Ann Peebles, Bernard Miller & Don Bryant",Private Dancer,Pop,8226144,223,1,1,4,10,1984,Missy Elliot,The Rain (Supa Dupa Fly),1997,Black,Black
Hallelujah,Leonard Cohen,Leonard Cohen,The Essential Leonard Cohen,Singer/Songwriter,9914967,278,1,2,13,18,1984,Jeff Buckley,Hallelujah,1997,White,White
Nothing's Gonna Change My Love for You,George Benson,"Gerry Goffin, Jon Sembello & Michael Masser",20/20,Pop,8899546,242,1,1,4,10,1985,Glenn Madeiros,Nothing's Gonna Change My Love for You,1986,Black,White
Downtown Train,Tom Waits,Tom Waits,Rain Dogs,Alternative,8222039,230,1,1,17,19,1985,Rod Stewart,Downtown Train,1990,White,White
I Found Someone,Laura Branigan,,Hold Me,Pop,8925351,240,1,1,7,10,1985,Cher,I Found Someone,1987,White,White
The Best,Bonnie Tyler,Holly Knight & Mike Chapman,The Very Best of Bonnie Tyler,Adult Contemporary,9248052,255,1,1,26,48,1986,Tina Turner,The Best,1989,White,Black
It's All Coming Back To Me Now,Pandora's Box,Jim Steinman,80s Love Songs,Rock,17139139,503,1,1,31,31,1989,Celine Dion,It's All Coming Back To Me Now,1996,White,White
Superstition,"Beck, Bogert & Appice",Stevie Wonder,Beckology,Rock,10338794,258,2,3,11,14,1991,Stevie Wonder,Superstition,,,
Nothing Compares 2 U,Prince,Prince,Nothing Compares 2 U - Single,Pop,9810485,280,1,1,1,1,1993,,Nothing Compares 2 U,,,
Baby I Love Your Way,Peter Frampton,Peter Frampton,Peter Frampton,Rock,9233534,261,1,1,14,16,1994,,Baby I Love Your Way,,,
Hooked On a Feeling,B.J. Thomas,,20 Greatest Hits,Pop,6037186,167,1,1,5,20,1994,,Hooked On a Feeling,,,
Killing Me Softly,Lori Lieberman,,A Thousand Dreams,Pop,7785761,223,1,1,13,14,1995,,Killing Me Softly,,,
I Want Candy,The Strangeloves,"Bob Feldman, Jerry Goldstein, Richard Gottehrer & Bert Berns",I Want Candy: The Best of the Strangeloves,Rock,6387596,177,1,1,4,20,1995,,I Want Candy,,,
It's Oh So Quiet,Betty Hutton,,It's Oh So Quiet (Remastered) - Single,Vocal,6681455,185,1,1,1,1,1996,,It's Oh So Quiet,,,
Always on My Mind,Brenda Lee,"Mark James, Johnny Christopher & Wayne Carson Thompson",In the Mood for Love: Classic Ballads,Country,6608100,169,1,1,18,18,1998,,Always on My Mind,,,
Piece of My Heart,Erma Franklin,J.Ragavoy/B.Berns,Piece of Her Heart - The Epic and Shout Years,R&B/Soul,6472240,157,1,1,3,26,1999,,Piece of My Heart,,,
Louie Louie (Remastered),Richard Berry,,Louie Louie (Remastered) - Single,Pop,4965948,131,1,1,1,1,1999,,Louie Louie (Remastered),,,
Bad Case of Lovin' You,Moon Martin,John Martin,The Ultimate Anthology,Rock,8388040,231,1,1,2,24,1999,,Bad Case of Lovin' You,,,
Dancing In the Moonlight,Toploader,Sherman Kelly,Onka's Big Moka,Rock,8237331,232,1,1,2,12,1999,,Dancing In the Moonlight,,,
Everlasting Love,Robert Knight,,Everlasting Love / Love On a Mountain Top - Single,R&B/Soul,6513995,167,1,1,1,2,2003,,Everlasting Love,,,
Kitty,Racey,Mike Chapman & Nicky Chinn,The Best of Racey,Pop,7728888,219,1,1,8,18,2003,,Kitty,,,
Midnight Train to Georgia,Jim Weatherly,,Songs I've Written,Vocal,11588059,334,1,1,17,17,2003,,Midnight Train to Georgia,,,
You're No Good (Single Version),Dee Dee Warwick,,"One Kiss Can Lead to Another: Girl Group Sounds, Lost & Found",Rock,5536500,146,1,1,6,21,2005,,You're No Good (Single Version),,,
Black Magic Woman,Fleetwood Mac,Green,The Blue Horizon Story (1965-1970),Blues,6404778,168,2,3,6,23,2005,,Black Magic Woman,,,
Love's Ring of Fire,Anita Carter,Merle Kilgore & June Carter,Johnny Cash - Roots & Branches,Country,4849602,115,1,1,10,16,2006,,Love's Ring of Fire,,,
Valerie,The Zutons,The Zutons & Dave McCabe,Tired of Hanging Around,Pop,8510810,236,1,1,3,11,2006,,Valerie,,,
Some Guys Have All the Luck,The Persuaders,,Vintage 70's Soul,R&B/Soul,7475192,210,1,1,2,25,2007,,Some Guys Have All the Luck,,,
I've Got My Mind Set On You,James Ray,,Gerry Granahan - Caprice!,R&B/Soul,7753991,206,1,1,22,24,2008,,I've Got My Mind Set On You,,,
Brandy,Scott English,,Richard Harris & Scott English Greatest Hits,Pop,7153590,178,1,1,12,23,2008,,Brandy,,,
California Dreamin',Barry McGuire,John Phillips & Michelle Phillips,Rockin' Originals: Original Versions of Famous Songs,Pop,6146584,157,1,1,3,12,2010,,California Dreamin',,,
Mustang Sally,Mack Rice,Bonny Rice,Rockin' Originals: Original Versions of Famous Songs,Rock,6888844,186,1,1,8,12,2010,,Mustang Sally,,,
There's Always Something There to Remind Me,Lou Johnson,B. Bacharach & H. David,"Soul Treasures of Amy, Mala, & Bell Records (1963-1969)",R&B/Soul,7137327,193,1,2,3,25,2011,,There's Always Something There to Remind Me,,,
Saving All My Love for You,Marilyn McCoo & Billy Davis Jr.,M. Masser & J. Goffin,Marilyn & Billy (Expanded Edition),Pop,7567230,209,1,1,9,11,2014,,Saving All My Love for You,,,
Heartbreaker,Jenny Darren,,Heartbreaker (Best Of 1977-1980),Rock,7162275,186,1,1,1,19,2015,,Heartbreaker,,,
Manic Monday,Prince,Prince,Originals,Pop,6149992,171,1,1,3,15,2019,,Manic Monday,,,
The Glamorous Life,Prince,Prince Rogers Nelson & Prince,Originals,Pop,8924156,251,1,1,10,15,2019,,The Glamorous Life,,,
Jungle Love,Prince,"Jesse Johnson, Martika Marrero, Morris Day & Prince",Originals,Pop,6819561,183,1,1,2,15,2019,,Jungle Love,,,
Vacation,The Textones,Kathy Valentine,Vacation - Single,Rock,4161706,108,1,1,1,1,2020,,Vacation,,,
